GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,id
3,0,2,3,4,4,4,2,2,1
3,0,2,3,4,4,4,2,2,2
3,0,2,3,4,4,4,2,2,3
3,0,2,3,4,4,4,2,2,4
3,0,2,3,4,4,4,2,2,5
3,0,2,3,4,4,4,2,2,6
3,0,2,3,4,4,4,2,2,7
3,0,2,3,4,4,4,2,2,8
3,0,2,3,4,4,4,2,2,9
3,0,2,3,4,4,4,2,2,10
3,0,2,3,4,4,4,2,2,11
3,0,2,3,4,4,4,2,2,12
3,0,2,3,4,4,4,2,2,13
3,0,2,3,4,4,4,2,2,14
3,0,2,3,4,4,4,2,2,15
3,0,2,3,4,4,4,2,2,16
4,0,4,4,2,3,2,3,2,17
3,0,2,3,4,4,4,2,2,18
3,0,2,3,4,4,4,2,2,19
3,0,2,3,4,4,4,2,2,20
3,0,2,3,4,4,4,2,2,21
4,0,3,5,4,3,3,4,2,22
4,0,3,5,4,3,3,4,2,23
4,0,3,5,4,3,3,4,2,24
4,0,3,5,4,3,3,4,2,25
4,0,3,5,4,3,3,4,2,26
4,0,3,5,4,3,3,4,2,27
4,0,3,5,4,3,3,4,2,28
4,0,3,5,4,3,3,4,2,29
4,0,3,5,4,3,3,4,2,30
4,0,3,5,4,3,3,4,2,31
4,0,3,5,4,3,3,4,2,32
4,0,3,5,4,3,3,4,2,33
4,0,3,5,4,3,3,4,2,34
4,0,3,5,4,3,3,4,2,35
4,0,3,5,4,3,3,4,2,36
4,0,4,2,4,4,2,2,3,37
4,0,4,2,4,4,2,2,3,38
4,0,4,2,4,4,2,2,3,39
4,0,4,2,4,4,2,2,3,40
4,0,4,2,4,4,2,2,3,41
4,0,4,2,4,4,2,2,3,42
4,0,4,2,4,4,2,2,3,43
4,0,4,2,4,4,2,2,3,44
4,0,4,2,4,4,2,2,3,45
4,0,4,2,4,4,2,2,3,46
4,0,4,2,4,4,2,2,3,47
4,0,4,2,4,4,2,2,3,48
4,0,4,2,4,4,2,2,3,49
4,0,4,2,4,4,2,2,3,50
4,0,4,2,4,4,2,2,3,51
4,0,4,2,4,4,2,2,3,52
4,0,4,2,4,4,2,2,3,53
4,0,4,2,4,4,2,2,3,54
4,0,4,2,4,4,2,2,3,55
4,0,4,2,4,4,2,2,3,56
4,0,4,2,4,4,2,2,3,57
3,3,2,4,4,4,5,2,3,58
3,3,2,4,4,4,5,2,3,59
3,3,2,4,4,4,5,2,3,60
3,3,2,4,4,4,5,2,3,61
3,3,2,4,4,4,5,2,3,62
