id,first_name,second_name,web_name,team,position,ict_index,points_per_game,selected_by_percent,total_points,minutes,goals_scored,assists,clean_sheets,bonus,form,value_form,value_season,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,chance_of_playing_next_round,Cost
1,Shkodran,Mustafi,Mustafi,ARS,DEF,29.8,3.2,0.4,26,620,0,2,2,1,2.3,0.5,5.1,9,0,0,0,0,0,0,75.0,5.1
2,Héctor,Bellerín,Bellerín,ARS,DEF,19.5,3.1,1.3,25,623,1,0,2,3,2.7,0.5,4.6,10,0,0,0,2,0,0,100.0,5.4
3,Sead,Kolasinac,Kolasinac,ARS,DEF,41.2,2.1,0.5,35,1103,0,2,2,1,0.3,0.1,6.7,19,0,0,0,3,0,0,0.0,5.2
4,Ainsley,Maitland-Niles,Maitland-Niles,ARS,DEF,44.9,2.6,2.3,36,1210,0,2,3,3,0.0,0.0,8.0,19,0,0,0,3,1,0,100.0,4.5
5,Sokratis,Papastathopoulos,Sokratis,ARS,DEF,58.5,3.0,1.4,57,1696,2,0,4,5,1.7,0.4,11.9,25,0,0,0,6,0,0,100.0,4.8
6,Nacho,Monreal,Monreal,ARS,DEF,10.0,3.3,0.2,10,270,0,0,1,1,0.0,0.0,2.0,4,0,0,0,0,0,0,0.0,5.0
7,Laurent,Koscielny,Koscielny,ARS,DEF,0.0,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,5.0
8,Konstantinos,Mavropanos,Mavropanos,ARS,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.4
9,Carl,Jenkinson,Jenkinson,ARS,DEF,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,4.5
10,Rob,Holding,Holding,ARS,DEF,1.6,1.0,0.1,2,85,0,0,0,0,0.0,0.0,0.4,3,0,0,0,0,0,0,100.0,4.5
11,Pierre-Emerick,Aubameyang,Aubameyang,ARS,FWD,210.9,5.8,28.0,152,2303,17,3,7,29,7.7,0.7,13.7,33,0,0,0,3,1,0,100.0,11.1
12,Alexandre,Lacazette,Lacazette,ARS,FWD,134.0,3.9,2.1,78,1311,7,4,3,9,5.3,0.6,8.4,18,0,0,0,5,0,0,100.0,9.3
13,Edward,Nketiah,Nketiah,ARS,FWD,16.7,2.4,1.3,12,249,1,0,1,1,3.3,0.8,2.8,3,0,0,0,0,0,0,100.0,4.3
14,Bernd,Leno,Leno,ARS,GKP,77.6,3.9,5.5,108,2520,0,0,7,9,6.3,1.3,21.6,36,0,1,0,2,0,104,,5.0
15,Mesut,Özil,Özil,ARS,MID,99.8,2.9,1.5,53,1439,1,3,5,1,5.3,0.7,7.4,20,0,0,0,1,0,0,100.0,7.2
